text,intent
"hey, google at 7 am",search_web
"ok, tell me the forecast at 7 am",weather
"ok, can you google",search_web
would you mind if you timer for,set_alarm
please tell me about,search_web
"hey, open the app for me",open_app
just good evening for 10 minutes,greeting
please i want to listen to music,play_music
would you mind if you can you open on spotify,open_app
would you mind if you music please,play_music
could you create a timer about space,set_alarm
just what time is it,time
gotta go for 10 minutes,farewell
can you current time please now,time
would you mind if you tell me the forecast,weather
what is,search_web
tell me something funny,joke
"hey assistant, resume playback",play_music
can you start right now,open_app
please current time please in new york,time
i need you to remind me,set_alarm
"hey, show me",open_app
can you do i need an umbrella please,weather
i need you to farewell,farewell
search for today,search_web
"ok, who is tomorrow",search_web
please tell me a joke,joke
search the web for in new york,search_web
crack a joke,joke
please set an alarm at 7 am,set_alarm
could you talk to you soon at 7 am,farewell
i need you to do you know any jokes for me,joke
"ok, see ya",farewell
can you can you open,open_app
open up about dogs,open_app
"ok, google at 7 am",search_web
"hey, start today",open_app
can you start playing music,play_music
could you what's the clock say on spotify,time
can you wake me up,set_alarm
"ok, music please tomorrow",play_music
could you tell me the time,time
just crack a joke,joke
"ok, hi there on spotify",greeting
"hey assistant, open the app",open_app
just peace out friend,farewell
i need you to make me laugh,joke
"hey assistant, put on a playlist",play_music
i need you to see you later,farewell
can you music please,play_music
would you mind if you how is the weather buddy,weather
could you look up,search_web
"hey, open up",open_app
"ok, timer for",set_alarm
"ok, what is the time buddy",time
could you tell me about on spotify,search_web
"hey, music please on spotify",play_music
i need you to go to,open_app
just tell me the forecast,weather
would you mind if you tell me a joke buddy,joke
can you search the web for for 10 minutes,search_web
"hey assistant, find information about",search_web
i need you to what's the clock say,time
just who is for 10 minutes,search_web
"ok, tell me a joke quickly",joke
please goodbye on youtube,farewell
"hey, what time is it at 7 am",time
can you add an alarm,set_alarm
just start playing music quickly,play_music
"ok, what is the temperature",weather
"ok, make me laugh about space",joke
i need you to talk to you soon today,farewell
could you peace out,farewell
please timer for on youtube,set_alarm
would you mind if you look up about dogs,search_web
"hey assistant, wake me up",set_alarm
"ok, bye assistant",farewell
could you tell me the forecast on spotify,weather
would you mind if you tell me something funny,joke
could you start for 10 minutes,open_app
"hey, open the app about dogs",open_app
boot up buddy,open_app
"hey, play a song",play_music
"ok, make me laugh",joke
"hey assistant, look up about space",search_web
"ok, i need a laugh at 7 am",joke
"ok, i'm leaving assistant",farewell
could you play a song,play_music
can you do i need an umbrella,weather
i need you to what's the clock say at 7 am,time
would you mind if you start assistant,open_app
would you mind if you make me laugh,joke
would you mind if you could you tell me the time on youtube,time
could you what's up,greeting
i need you to show me for 10 minutes,open_app
could you what is,search_web
please hiya,greeting
just start playing music,play_music
just what is tomorrow,search_web
"ok, resume playback please",play_music
please can you google tomorrow,search_web
do i need an umbrella,weather
would you mind if you wake me up tomorrow,set_alarm
"hey, is it raining outside for 10 minutes",weather
please do you know the time please,time
"hey, remind me on spotify",set_alarm
"hey, put on a playlist",play_music
can you i need a laugh,joke
"hey assistant, open the app for me",open_app
could you current time please friend,time
could you show me in new york,open_app
would you mind if you boot up,open_app
just farewell on youtube,farewell
"ok, what is today",search_web
can you tell me about at 7 am,search_web
please what is the temperature,weather
"ok, remind me for me",set_alarm
tell me about,search_web
can you search for assistant,search_web
what is for 10 minutes,search_web
could you how is the weather in london,weather
can you what is the time in new york,time
could you i'm leaving,farewell
i need you to start playing music tomorrow,play_music
would you mind if you good morning,greeting
would you mind if you tell me the forecast,weather
i need you to wake me up about space,set_alarm
i need you to catch you later,farewell
"ok, goodbye",farewell
i need you to i want to listen to music for me,play_music
just tell me the time assistant,time
please tell me about for me,search_web
please show me,open_app
can you see you later at 7 am,farewell
"ok, add an alarm friend",set_alarm
please play a song in london,play_music
"hey assistant, top of the morning",greeting
i need you to make me laugh,joke
please hiya,greeting
would you mind if you catch you later today,farewell
"ok, tell me a joke for me",joke
"ok, boot up assistant",open_app
look up now,search_web
start playing music at 7 am,play_music
just do you know any jokes for 10 minutes,joke
just launch for me,open_app
"hey assistant, play a song",play_music
could you is it sunny at 7 am,weather
i need you to talk to you soon friend,farewell
can you good morning tomorrow,greeting
"hey assistant, search for assistant",search_web
could you bye assistant,farewell
just tell me about in new york,search_web
could you could you tell me the time in new york,time
"ok, bye in new york",farewell
"hey assistant, tell me a joke today",joke
just what is,search_web
"ok, find information about",search_web
can you bye bye,farewell
tell me a joke now,joke
would you mind if you what's the weather like,weather
do you know the time for 10 minutes,time
please do i need an umbrella,weather
can you remind me tomorrow,set_alarm
i need a laugh,joke
i need you to tell me a joke,joke
"hey assistant, search the web for",search_web
tell me something funny,joke
"hey, put on a playlist",play_music
please timer for quickly,set_alarm
is it raining outside now,weather
"ok, tell me the forecast now",weather
i need you to set an alarm in london,set_alarm
just catch you later for 10 minutes,farewell
could you search for today,search_web
just good morning,greeting
can you timer for right now,set_alarm
can you what's the clock say please,time
please start,open_app
"ok, add an alarm",set_alarm
can you start playing music for me,play_music
can you see you later,farewell
i need you to tell me about,search_web
would you mind if you set a timer,set_alarm
can you play a song,play_music
please play some music on spotify,play_music
please tell me the time at 7 am,time
"hey assistant, tell me a joke",joke
i need you to what time is it quickly,time
can you make me laugh,joke
tell me the time,time
please is it raining outside on youtube,weather
"hey, bye bye",farewell
can you bye,farewell
can you find information about on spotify,search_web
would you mind if you bye,farewell
would you mind if you boot up,open_app
"ok, start",open_app
"hey assistant, what is the time",time
"hey, what time is it friend",time
i need you to music please about space,play_music
"hey assistant, hi there",greeting
just can you open,open_app
say a joke on youtube,joke
would you mind if you can you google,search_web
i need you to do you know any jokes,joke
"hey, good afternoon",greeting
would you mind if you play some music friend,play_music
please tell me the time in new york,time
say a joke friend,joke
could you open up,open_app
"hey, new alarm",set_alarm
"hey, create a timer about space",set_alarm
could you do you know any jokes,joke
please bye now,farewell
tell me something funny,joke
could you is it sunny,weather
could you tell me the time,time
just tell me the time today,time
"hey, add an alarm",set_alarm
could you shuffle my songs for 10 minutes,play_music
could you tell me about quickly,search_web
"hey, set a timer at 7 am",set_alarm
could you put on a playlist,play_music
"hey, yo",greeting
"hey, hey",greeting
"hey, how is the weather",weather
"ok, find information about friend",search_web
could you new alarm today,set_alarm
timer for,set_alarm
can you how is the weather,weather
peace out,farewell
could you who is about space,search_web
just open up,open_app
could you google,search_web
good evening,greeting
"ok, goodbye",farewell
can you start today,open_app
timer for,set_alarm
could you what's the clock say,time
please set a timer,set_alarm
just i need a laugh,joke
please put on a playlist,play_music
could you show me,open_app
can you how are you,greeting
can you google,search_web
can you what is the time,time
i need you to talk to you soon,farewell
just play a song,play_music
"ok, add an alarm",set_alarm
would you mind if you good evening,greeting
"hey assistant, is it sunny for me",weather
"ok, goodbye for 10 minutes",farewell
tell me the forecast right now,weather
"hey, show me about space",open_app
i need you to play a song please,play_music
just crack a joke for me,joke
could you have a good one assistant,farewell
please is it sunny,weather
i need you to launch,open_app
"ok, what is the time today",time
just farewell,farewell
just remind me,set_alarm
"hey, hiya for 10 minutes",greeting
could you farewell,farewell
"hey, goodbye in london",farewell
i need you to do you know any jokes,joke
what is,search_web
"hey, start at 7 am",open_app
"ok, how are you please",greeting
"ok, search the web for",search_web
"hey assistant, put on a playlist tomorrow",play_music
"hey assistant, is it raining outside about dogs",weather
i need you to remind me today,set_alarm
please what is the temperature for 10 minutes,weather
"ok, can you google right now",search_web
"hey assistant, tell me the time at 7 am",time
could you what time is it,time
is it sunny,weather
"ok, search for in new york",search_web
just timer for,set_alarm
gotta go,farewell
could you what is about space,search_web
"ok, do you know any jokes",joke
"hey assistant, play a song",play_music
"hey, hey buddy",greeting
please how is the weather in new york,weather
open the app,open_app
"hey, do you know the time friend",time
"hey assistant, put on a playlist",play_music
would you mind if you open up,open_app
just search the web for at 7 am,search_web
just bye on youtube,farewell
"hey, i need a laugh in london",joke
can you have a good one,farewell
"hey assistant, shuffle my songs",play_music
could you start playing music friend,play_music
"hey, hiya",greeting
create a timer in london,set_alarm
i need you to play some tunes,play_music
"hey, greetings on spotify",greeting
just how is the weather about space,weather
could you remind me quickly,set_alarm
can you what is the time,time
could you resume playback on spotify,play_music
"ok, catch you later",farewell
"ok, play some tunes",play_music
can you music please,play_music
please have a good one at 7 am,farewell
i need you to do you know any jokes,joke
please do you know the time,time
"ok, find information about assistant",search_web
"ok, have a good one assistant",farewell
set an alarm,set_alarm
could you is it sunny assistant,weather
could you look up for 10 minutes,search_web
would you mind if you boot up,open_app
please howdy now,greeting
set a timer friend,set_alarm
"ok, how is the weather",weather
just farewell assistant,farewell
"hey assistant, bye about dogs",farewell
just crack a joke,joke
would you mind if you could you tell me the time,time
i need you to is it raining outside,weather
could you how is the weather,weather
just greetings,greeting
i need you to set an alarm in new york,set_alarm
crack a joke please,joke
gotta go,farewell
would you mind if you farewell,farewell
would you mind if you do you know any jokes buddy,joke
i need you to good evening right now,greeting
i need you to i want to listen to music tomorrow,play_music
"hey, i need a laugh",joke
would you mind if you goodbye,farewell
"hey assistant, is it sunny buddy",weather
"hey assistant, add an alarm",set_alarm
please tell me something funny about space,joke
set a timer,set_alarm
"hey, goodbye for me",farewell
can you see ya tomorrow,farewell
would you mind if you start playing music in london,play_music
music please,play_music
"hey assistant, what time is it",time
can you add an alarm,set_alarm
could you hello assistant,greeting
would you mind if you new alarm in new york,set_alarm
"ok, i'm leaving",farewell
would you mind if you boot up,open_app
i need you to show me assistant,open_app
see you later assistant,farewell
"hey, farewell",farewell
"hey, find information about",search_web
could you set an alarm,set_alarm
i need you to look up,search_web
"ok, talk to you soon",farewell
"hey, say a joke friend",joke
i need you to wake me up friend,set_alarm
i need you to tell me about,search_web
crack a joke,joke
would you mind if you time check today,time
please tell me about,search_web
just play some music,play_music
please boot up,open_app
can you what is about dogs,search_web
would you mind if you wake me up now,set_alarm
i need you to farewell,farewell
can you tell me a joke in london,joke
please crack a joke about dogs,joke
new alarm about dogs,set_alarm
"ok, timer for tomorrow",set_alarm
please gotta go,farewell
just remind me tomorrow,set_alarm
would you mind if you hey,greeting
"hey assistant, launch buddy",open_app
please farewell,farewell
"ok, how is the weather",weather
"hey, open the app",open_app
"hey, what is for me",search_web
just search for quickly,search_web
just show me assistant,open_app
can you do you know the time,time
i need you to add an alarm friend,set_alarm
"ok, play some tunes about dogs",play_music
i need you to do you know the time right now,time
"ok, resume playback quickly",play_music
please is it raining outside in london,weather
could you create a timer on spotify,set_alarm
just i'm leaving,farewell
i need you to go to right now,open_app
i need you to bye,farewell
"hey assistant, good morning assistant",greeting
could you put on a playlist in london,play_music
just is it sunny,weather
"hey, look up quickly",search_web
just how is the weather,weather
"hey assistant, say a joke please",joke
i need you to boot up on spotify,open_app
tell me a joke buddy,joke
"ok, google quickly",search_web
please is it sunny,weather
could you tell me the time right now,time
farewell,farewell
could you do you know any jokes,joke
"ok, play some music",play_music
could you what time is it please,time
"hey, music please today",play_music
could you set a timer right now,set_alarm
just what's the clock say today,time
please set a timer on spotify,set_alarm
please remind me right now,set_alarm
can you google,search_web
please timer for friend,set_alarm
"ok, hi",greeting
"hey assistant, farewell in london",farewell
"ok, howdy right now",greeting
what is,search_web
just do i need an umbrella,weather
just see you later today,farewell
please how is the weather for 10 minutes,weather
just catch you later for 10 minutes,farewell
could you peace out,farewell
can you set an alarm,set_alarm
just what is the time,time
i need you to do i need an umbrella,weather
"ok, boot up",open_app
see ya today,farewell
can you yo,greeting
"hey assistant, tell me a joke in london",joke
would you mind if you talk to you soon,farewell
could you what's up for me,greeting
could you go to,open_app
just set an alarm for me,set_alarm
bye at 7 am,farewell
can you crack a joke,joke
i need you to set a timer right now,set_alarm
could you do you know the time,time
can you start playing music,play_music
just top of the morning,greeting
"hey assistant, tell me a joke in new york",joke
"hey, catch you later",farewell
could you new alarm friend,set_alarm
"hey, talk to you soon",farewell
would you mind if you do i need an umbrella,weather
"hey, i want to listen to music on spotify",play_music
start,open_app
i need you to how is the weather,weather
"ok, create a timer about dogs",set_alarm
"hey assistant, tell me about",search_web
"hey, see you later",farewell
just i want to listen to music,play_music
can you peace out right now,farewell
"hey, top of the morning buddy",greeting
"hey assistant, howdy quickly",greeting
"ok, find information about",search_web
would you mind if you i want to listen to music today,play_music
just open up,open_app
"hey, is it sunny right now",weather
could you time check,time
"ok, time check",time
can you google,search_web
please what's the weather like on youtube,weather
would you mind if you show me please,open_app
just wake me up in new york,set_alarm
"hey, resume playback",play_music
"hey, open up today",open_app
i need you to do you know any jokes friend,joke
"ok, tell me something funny on youtube",joke
"hey, what is",search_web
could you time check,time
"hey assistant, i need a laugh",joke
"ok, do you know the time tomorrow",time
"ok, what is the temperature about space",weather
please what is for 10 minutes,search_web
good morning,greeting
just do you know the time,time
could you what time is it,time
"hey, what's the clock say now",time
please play a song,play_music
could you what is,search_web
"hey, start assistant",open_app
could you do you know any jokes on spotify,joke
please look up,search_web
tell me the time,time
i need you to i need a laugh tomorrow,joke
"hey, time check quickly",time
can you say a joke,joke
i need you to what time is it on youtube,time
just yo,greeting
"ok, who is tomorrow",search_web
"hey assistant, start",open_app
can you is it sunny,weather
"hey assistant, tell me something funny",joke
just greetings,greeting
please how are you on spotify,greeting
can you open up,open_app
just put on a playlist,play_music
i need you to remind me for 10 minutes,set_alarm
just say a joke,joke
"hey assistant, timer for on youtube",set_alarm
can you start about dogs,open_app
please tell me the time on spotify,time
crack a joke,joke
can you hiya about space,greeting
can you launch,open_app
"hey, wake me up",set_alarm
"hey, boot up in london",open_app
could you hiya about dogs,greeting
just good morning,greeting
"hey, hiya friend",greeting
"ok, what time is it",time
can you hey at 7 am,greeting
i need you to add an alarm right now,set_alarm
can you yo quickly,greeting
"hey, resume playback",play_music
"hey, start playing music about dogs",play_music
"hey assistant, open the app",open_app
just tell me a joke,joke
can you shuffle my songs in new york,play_music
"hey, say a joke",joke
"hey, who is",search_web
"ok, is it sunny about dogs",weather
would you mind if you search for,search_web
please farewell friend,farewell
